Name	Brand	Release_Year	Concentration	Rating_Value	Rating_Count	Main_Accords	Top_Notes	Middle_Notes	Base_Notes	Perfumers
Men Carolina Herrera 1999 Eau de Toilette	Carolina Herrera	1999	Eau de Toilette	7.5	306	Fresh, Green, Synthetic, Woody, Citrus	Citrus leaf, Grass	Lavender, Spices, Gardenia	Musk, Sandalwood, Gaiac wood	Alberto Morillas, Rosendo Mateu, Ann Gottlieb Product developer
Sexy	Carolina Herrera	2005	NA	7	112	Floral, Sweet, Powdery, Spicy, Oriental	Pink pepper, Bergamot, Mandarin orange	Floral notes, Gardenia	Cotton candy, Vanilla, White musk, Sandalwood	Alberto Morillas, Rosendo Mateu
Sexy Men Carolina Herrera 2006 Eau de Toilette	Carolina Herrera	2006	Eau de Toilette	7.5	119	Sweet, Spicy, Powdery, Woody, Oriental	Ginger, Bergamot, Mandarin orange	Cardamom, Tonka bean, Floral notes, Green pepper	Bourbon vanilla, Sandalwood, Amber, Musk, Gaiac wood	Alberto Morillas, Rosendo Mateu
VIP Black Carolina Herrera 2017 Eau de Parfum	Carolina Herrera	2017	Eau de Parfum	7.8	107	Sweet, Fresh, Spicy, Oriental, Synthetic	Absinth	Lavender, Leather	Musk, Vanilla	Carlos Benaïm, Anne Flipo
VIP Carolina Herrera 2010 Eau de Parfum	Carolina Herrera	2010	Eau de Parfum	7.2	60	Floral, Sweet, Powdery, Fruity, Gourmand	Bitter orange, Passion fruit	Musk, Gardenia, Rum	Benzoin, Vanilla, Tonka bean	Alberto Morillas
VIP Men Carolina Herrera 2011 Eau de Toilette	Carolina Herrera	2011	Eau de Toilette	7.8	222	Sweet, Fresh, Spicy, Fruity, Woody	Finger lime, Black pepper, Mint	Vodka, Apple, Ginger	Tonka bean, Amber, Kingwood, Leather	Emilie Bevierre-Coppermann, David Apel, Lucas Sieuzac
Tabou	Le Ré Noir	2003	NA	7.3	450	Floral, Creamy, Fresh, Sweet, Powdery	NA	NA	NA	Alberto Morillas
Le Galion	Le Galion	2014	NA	7.4	66	Woody, Spicy, Resinous, Smoky, Green	Cashmere wood, Violet	Myrrh, Lavender, Styrax, White musk	Sandalwood, Oakmoss, Vanilla, Leather	Thomas Fontaine
Piment Baie Rose Benjoin	Bon Parfumeur	2007	NA	8.1	98	Citrus, Fresh, Woody, Green, Spicy	Grapefruit, Yuzu, Lemon petitgrain, Grass, Vexlim	Black pepper, Juniper berry	Vetiver, Gaiac wood, Musk, Patchouli, Harshness	Patricia de Nicolaï
Saint-Honoré	bdk Parfums	2024	NA	7	105	Floral, Synthetic, Sweet, Powdery, Fresh	French angelica root, Madagascan pink pepper	Iris, Orange blossom, Tonka bean	Ambroxan, White musk, Thai oud	Alexandra Carlin
° Red for Men	Perry Ellis	2003	NA	7.5	495	Fresh, Citrus, Aquatic, Spicy, Synthetic	Lime, Mandarin orange, Bergamot, Orange, Cinnamon, Clove, Nutmeg	Lavender, Parsley, Coriander seed	Musk, Cedarwood, Oakmoss, Sandalwood, Vetiver, Patchouli	Jean-Louis Grauby
° White for Men	Perry Ellis	2005	NA	7.8	102	Sweet, Powdery, Creamy, Fresh, Floral	Bergamot, Cardamom, Lime	Orris root, Lily of the valley, Orange blossom	Vanilla, White musk, Cedar, Tonka bean	Frank Voelkl, Symrise
Al-Jazeera / الجزيرة	Al-Jazeera / الجزيرة	1983	NA	7.3	127	Sweet, Fruity, Floral, Gourmand, Powdery	Blueberry, Woodland strawberry, Blackberry, Blackcurrant	Jasmine, Ylang-ylang, Bulgarian rose	Almond wood, Sandalwood, Rosewood, French cedar	Bernard Ellena
XerJoff	XerJoff	2018	NA	8.2	538	Sweet, Floral, Spicy, Woody, Fruity	Honey, Bitter orange, Mandarin orange, Bergamot	Orange blossom, Ylang-ylang, Blond tobacco, Rose	Patchouli, Vanilla, Cedarwood, Vetiver	NA
Years	Etat Libre d'Orange	2019	NA	6.9	109	Floral, Spicy, Woody, Oriental, Sweet	Cardamom, Saffron, Bergamot	Turkish rose absolute, Bourbon geranium, Oud	Suede, Amberwood, Patchouli	NA
Maison Francis Kurkdjian 2022 Eau de Parfum	Maison Francis Kurkdjian	2022	Eau de Parfum	7.4	555	Fresh, Floral, Citrus, Synthetic, Creamy	Aldehydes, Calabrian bergamot	Lily of the valley, Egyptian jasminum grandiflorum absolute, Sweet pea, Freesia, Mock-orange	White musk, Indian sandalwood	Francis Kurkdjian
Maison Francis Kurkdjian	Maison Francis Kurkdjian	2012	NA	7.4	64	Fresh, Floral, Citrus, Green, Powdery	NA	NA	NA	Francis Kurkdjian
Al-Jazeera / الجزيرة	Al-Jazeera / الجزيرة	2002	NA	6.6	70	Floral, Sweet, Powdery, Woody, Resinous	NA	Gardenia, Rose	Gardenia, Sandalwood, Vanilla, Jasmine, Tonka bean	Andy Tauer
Factory, Beijing	Etnia	2008	NA	8.1	714	Spicy, Sweet, Fruity, Oriental, Woody	Red apple, Red pepper, Grapefruit, Pimento, Saffron	Cinnamon leaf, Habanero chili, Provençal lavender, Lavender	Tobacco, Benzoin, Amberwood, Cedarwood, Spoiled Spice	Carlos Benaïm, Nicolas Beaulieu, Jean-Christophe Hérault
Deconstructing Eden	Deconstructing Eden	NA	NA	7.5	57	Spicy, Creamy, Sweet, Woody, Resinous	Black pepper, Coconut, Elemi resin, Pink pepper, Smoke, Dust	Davana, Jasmine, Rum, Malabar pepper, Smoke	Amber, Cane sugar, Sandalwood, Oud, Bourbon vanilla	NA
Jean Patou 1972 Parfum	Jean Patou	1972	Parfum	8	186	Floral, Chypre, Spicy, Green, Woody	Osmanthus, Violet leaf, Bergamot	Geranium, Jasmine, Lily of the valley, Rose	Oakmoss, Sandalwood, Patchouli	Jean Kerléo
Jean Patou Eau de Parfum	Jean Patou	NA	Eau de Parfum	8.4	72	Floral, Chypre, Spicy, Green, Woody	Osmanthus, Violet leaf, Bergamot	Geranium, Jasmine, Lily of the valley, Rose	Oakmoss, Sandalwood, Patchouli	Jean Kerléo
Miglia	Chopard	2013	NA	6.7	65	Fresh, Sweet, Spicy, Synthetic, Woody	Bergamot, Juniper berry, Lavender	Clary sage, Violet leaf, Asphalt	Tonka bean, Amber, Coffee, Dry woods	Olivier Polge, Bruno Jovanovic, IFF (International Flavors & Fragrances)
1001	Nobile 1942	2017	NA	7.9	73	Spicy, Woody, Oriental, Floral, Resinous	Red tea, Bergamot, Elemi resin, Ginger, Pink pepper	Papyrus, Saffron, Turkish rose absolute, Iris, Jasminum grandiflorum absolute, Turmeric absolute	Patchouli, Amber, Musk, Sandalwood, Vanilla	Luca Maffei
Frapin	Frapin	2008	NA	7.6	441	Sweet, Gourmand, Spicy, Fruity, Woody	Candied bitter orange peel, Prune, Hazelnut, Raisin, Cocoa, Tonka bean, Coffee	Spices, Immortelle, Pepper, Grape blossom, Linden tree	Gaiac wood, Precious woods, Vanilla, White honey	Beatrice Cointreau, Sidonie Lancesseur
Carthusia	Carthusia	2010	NA	7.9	180	Woody, Spicy, Powdery, Fresh, Green	Bergamot, Coriander, Red thyme, Rosemary, Mandarin orange	Iris, Black pepper, Lavender, Neroli, Petitgrain	Frankincense, Ambergris, Sandalwood, White musk, Cedarwood, Vanilla	Laura Bosetti Tonatto
Histoires de Parfums	Histoires de Parfums	NA	NA	7.6	316	Powdery, Sweet, Spicy, Woody, Fresh	Grapefruit, Glycyrrhiza glabra, Bergamot, Lemon	Lavender, Star anise	Almond, Vanilla, Amber, Cedar, Sandalwood	Sylvie Jourdet, Gérald Ghislain Creative Director
Histoires de Parfums	Histoires de Parfums	2008	NA	7.9	414	Spicy, Leathery, Resinous, Woody, Earthy	Davana, Bergamot	Patchouli, Cardamom, Coriander	Leather, Immortelle, Labdanum, Birch, Cedar, Vanilla, Elemi resin	Sylvie Jourdet, Gérald Ghislain Creative Director
Histoires de Parfums	Histoires de Parfums	1999	NA	7.1	161	Fruity, Floral, Sweet, Spicy, Woody	Hawaiian pineapple, Corsican peach, Tiaré	Clove, Jasminum auriculatum, Nutmeg, Lily of the valley, Moroccan rose	Patchouli, Sandalwood, Benzoin, Vanilla, White musk	Sylvie Jourdet, Gérald Ghislain Creative Director
Histoires de Parfums	Histoires de Parfums	2001	NA	7.5	260	Spicy, Floral, Woody, Powdery, Sweet	Bergamot, Mandarin orange	White blossoms, Cinnamon, Ginger, Violet	Patchouli, Blond woods, White musk, Amber, Frankincense, Vanilla	Sylvie Jourdet, Gérald Ghislain Creative Director
Histoires de Parfums	Histoires de Parfums	1999	NA	7.6	251	Spicy, Fresh, Woody, Citrus, Green	Eucalyptus, Lemon, Mandarin orange, Grapefruit	Nutmeg, Black pepper	Atlas cedar, Patchouli, Frankincense, Vetiver, Pine tree cone	Sylvie Jourdet, Gérald Ghislain Creative Director
2018 Édition 190ème Anniversaire Guerlain 2018 Absolu Parfum	Guerlain	2018	Absolu Parfum	8.5	59	Sweet, Floral, Powdery, Fruity, Gourmand	NA	NA	NA	Thierry Wasser
Acca Kappa 2005 Eau de Cologne	Acca Kappa	2005	Eau de Cologne	6.2	53	Spicy, Fresh, Woody, Green, Floral	Cardamom, Geranium leaf	Violet leaf, Iris, Leather	Amber, Vanilla	NA
for Men	Clive Christian	2001	NA	8.2	407	Green, Fresh, Spicy, Citrus, Floral	Galbanum, Petitgrain, Bergamot, Lime, Grapefruit, Lavender, Mandarin orange, Peach, Pineapple, Rosemary, Nutmeg, Pepper	Clary sage, Cyclamen, Tagetes, Freesia, Jasmine	Cedar, Musk, Amber, Labdanum, Patchouli, Frankincense	Geza Schön
for Women	Clive Christian	2001	NA	8.1	148	Floral, Fresh, Green, Citrus, Woody	Lemon, Bergamot, Blueberry, Pineapple, Rosemary, Tangerine	Jasmine, Orchid, Osmanthus, Freesia, Lily of the valley, Rose, Violet	Oakmoss, Cedar, Musk, Gaiac wood, Patchouli, Sandalwood	Patricia Choux
Mandarin	Clive Christian	2016	NA	8.8	75	Fresh, Citrus, Green, Woody, Fruity	Sicilian mandarin orange, Basil, Basil, Bergamot, Coriander, Ginger, Lime, Nectarine, Lemon, Tangerine	Freesia, Jasmine, Lily of the valley, May rose, Orchid, Lavender, Violet	Amber, Cedarwood, Musk, Oakmoss, Patchouli, Saffron, Vetiver	NA
Histoires de Parfums	Histoires de Parfums	2001	NA	6.2	77	Citrus, Fresh, Floral, Sweet, Fruity	Bergamot, Grapefruit, Lemon, Lime, Mandarin orange, Orange	Lavender, Lily of the valley, Violet, Orange blossom, Spring flowers	Caramel, White musk, Vanilla	Sylvie Jourdet, Gérald Ghislain Creative Director
Histoires de Parfums	Histoires de Parfums	2001	NA	6.9	100	Spicy, Floral, Woody, Fruity, Powdery	Lychee, Bergamot, Orange	Carnation, Cumin, Iris, Cinnamon	Gaiac wood, Sandalwood, Vetiver, Vanilla, White musk	Sylvie Jourdet, Gérald Ghislain Creative Director
Acqua Forte	Cerruti	2013	NA	7.4	74	Fresh, Citrus, Green, Woody, Aquatic	Yuzu, Cardamom	Basil, Cascalone®	Cashmere wood, Brazilian rosewood	Olivier Cresp
Bella Notte pour Homme	Cerruti	2014	NA	7.8	60	Spicy, Woody, Citrus, Fresh, Sweet	Juniper, Sichuan pepper, Coriander, Key lime	Black cardamom, Nutmeg, Night-blooming jasmine, Ceylon cinnamon	Vanilla, Cedar, Musk, Patchouli	Olivier Cresp
Black	Cerruti	2006	NA	7.2	133	Spicy, Woody, Sweet, Fresh, Citrus	Bitter orange, Lavender, Pepper	Cedar, Nutmeg, Caraway	Gaiac wood, Marzipan, Oud	Michel Girard
pour Femme Cerruti 1995 Eau de Toilette	Cerruti	1995	Eau de Toilette	7.3	510	Floral, Fresh, Powdery, Woody, Spicy	Freesia, Mimosa, Violet	Orange blossom, Jasmine	Woody notes	Claire Cain
pour Homme Cerruti 2005 Eau de Toilette	Cerruti	2005	Eau de Toilette	7.3	457	Fresh, Woody, Spicy, Green, Citrus	Bergamot, Cypress, Blackcurrant	Patchouli, Ylang-ylang	Oakmoss, Pine, Sandalwood	Martin Gras
Signature	Cerruti	2017	NA	7.8	175	Spicy, Leathery, Woody, Smoky, Sweet	Pepper, Cypress, Nutmeg, Grapefruit	Cardamom, Labdanum, Leather	Amber, Patchouli, Vetiver	Nadège Le Garlantezec, Givaudan
Moulin Rouge	Histoires de Parfums	2010	NA	7.7	302	Powdery, Floral, Fruity, Leathery, Sweet	Plum, Cinnamon, Mandarin orange	Absinth, Damask rose	Iris, Musk, Patchouli, Fur	Sylvie Jourdet, Gérald Ghislain Creative Director
Histoires de Parfums	Histoires de Parfums	2013	NA	8.1	323	Spicy, Sweet, Woody, Floral, Powdery	Juniper, Black pepper, Italian bergamot	Cinnamon, Florentine iris, Orange blossom	Vanilla, Amber, Vetiver	Gérald Ghislain Creative Director
MCM 2005 Eau de Toilette	MCM	2005	Eau de Toilette	6.9	51	Leathery, Spicy, Fresh, Woody, Floral	NA	NA	NA	NA
Pivoine & Rhubarbe	Berdoues	2017	NA	7.6	68	Fruity, Fresh, Floral, Citrus, Sweet	Rhubarb, Blackcurrant, Lychee, Grapefruit	Peony, Magnolia, Rose	Amber, Cedar	Ane Ayo
Histoires de Parfums 2014 Parfum	Histoires de Parfums	2014	Parfum	8.2	51	Powdery, Floral, Woody, Sweet, Spicy	Italian mandarin orange, Neroli	Florentine iris absolute, Heliotrope	Musk, Cedarwood, Sandalwood	Gérald Ghislain Creative Director
Histoires de Parfums 2015 Absolu Eau de Parfum	Histoires de Parfums	2015	Absolu Eau de Parfum	8.2	91	Powdery, Floral, Woody, Creamy, Spicy	Italian mandarin orange, Neroli	Florentine iris absolute, Heliotrope	Musk, Cedarwood, Sandalwood	Gérald Ghislain
Extreme	Bois 1920	2005	NA	7.4	93	Woody, Spicy, Resinous, Smoky, Sweet	Lavender, Calabrian bergamot, Clary sage	Geranium, Jasmine	Sandalwood, Brazilian tonka bean, Cedarwood, Bourbon vanilla	Enzo Galardi
The Origin Tous 2017 Eau de Parfum	Tous	2017	Eau de Parfum	8.2	63	Spicy, Woody, Fresh, Citrus, Green	Cardamom, Bergamot, Pink pepper	Cumin, Black tea, Jasmine	Cedar, Patchouli, Ambergris	Daphné Bugey
Chanel 2012 Eau de Toilette	Chanel	2012	Eau de Toilette	7.8	234	Floral, Powdery, Fresh, Woody, Green	Aldehydes, Bergamot, Neroli	Jasmine, Ylang-ylang, Carnation, Lilac, Rose	Ambrette, Iris, Musk, Opoponax, Sandalwood, Vetiver, Iralia®, Vanilla, Coumarin, Frankincense	Jacques Polge
Chanel 2016 Eau de Parfum	Chanel	2016	Eau de Parfum	8	124	Floral, Powdery, Woody, Green, Creamy	Aldehydes, Bergamot, Neroli	Jasmine, Ylang-ylang, Carnation, Lilac, Rose	Ambrette, Iris, Musk, Opoponax, Sandalwood, Vetiver, Iralia®, Vanilla, Coumarin, Frankincense	Jacques Polge
Chanel	Chanel	2018	NA	8.3	499	Powdery, Fresh, Floral, Creamy, Citrus	NA	NA	NA	Olivier Polge
Floris	Floris	2016	NA	8	77	Fresh, Spicy, Green, Citrus, Woody	Birch leaf, Lemon, Bergamot, Black pepper	Juniper, Jasmine, Lavender, Vetiver	Musk, Amber, Patchouli	NA
X Alexandria Fragrances 2018 Parfum Extract	Alexandria Fragrances	2018	Parfum Extract	8.1	60	Sweet, Spicy, Gourmand, Creamy, Fruity	NA	NA	NA	NA
XerJoff	XerJoff	2020	NA	7	74	Citrus, Fresh, Spicy, Green, Aquatic	Mandarin orange, Green tea	Cardamom	Orange blossom	NA
Corvette - Wild Country	Avon	1899	NA	7.3	432	Citrus, Fresh, Spicy, Green, Woody	Lemon, Lime, Offense	Fume	Pine, Black pepper, Musk, Scum	Walter Penhaligon
Inez & Vinoodh Byredo 2013 Eau de Parfum	Byredo	2013	Eau de Parfum	7.1	326	Spicy, Leathery, Woody, Powdery, Sweet	Juniper berry, Black pepper	Iris, Leather, Violet	Black amber, Patchouli, Vanilla	Jérôme Epinette
Generation Man	Stéphane Humbert Lucas	2013	NA	8.1	342	Fruity, Woody, Spicy, Oriental, Resinous	Blackcurrant, Mint, Yuzu zest	Cambodian oud	Balsamic notes, Precious woods, Spices	Stéphane Humbert Lucas
Generation Woman	Stéphane Humbert Lucas	2013	NA	7.9	139	Powdery, Oriental, Sweet, Floral, Spicy	Almond, Neroli, Nectarine	Galbanum, Heliotrope, White tea	Tonka bean, Sandalwood, Jasmine	Stéphane Humbert Lucas
Histoires de Parfums	Histoires de Parfums	2020	NA	7.4	66	Floral, Green, Fresh, Spicy, Creamy	Ivy, Galbanum, Indian prickly ash, Italian bergamot	Tuberose, Heliotrope, Prickly pear	Sandalwood, Oakmoss, Vetiver	Gérald Ghislain Creative Director
The Royal	ann fragrance	1983	NA	7.6	1535	Fresh, Sweet, Citrus, Floral, Synthetic	Orange blossom, Bergamot, Coriander, Lemon, Mandarin orange	Geranium, Lily of the valley, Jasmine, Rose	Tonka bean, Benzoin, Amber, Cedar	Michel Almairac
Qi Parfum	Ormonde Jayne	2012	NA	7.1	64	Floral, Green, Fresh, Citrus, Fruity	Lemon blossom, Freesia, Neroli	Tea, Hedione, Rose, Violet, Osmanthus absolute	Maté, Musk, Moss, Myrrh, Benzoin	Geza Schön
Bois & Poudre	100BON	2009	NA	7.5	147	Floral, Chypre, Green, Spicy, Fresh	Petitgrain, Bergamot	Bulgarian rose, Saffron, Neroli, Nebulonix	Musk, Oakmoss, Sandalwood, Patchouli	James Heeley
Indian Wood	Pierre Guillaume	2016	NA	7.2	89	Woody, Sweet, Spicy, Fresh, Fruity	NA	NA	NA	Pierre Guillaume
Spicematic	Pierre Guillaume	2020	NA	7.8	59	Spicy, Woody, Fresh, Resinous, Green	NA	NA	NA	Pierre Guillaume
Un Crime Exotique	Pierre Guillaume	2006	NA	7.7	202	Spicy, Gourmand, Sweet, Oriental, Fruity	Cinnamon, Star anise, Masala chai	Gingerbread, Osmanthus	Maté, Vanilla, Australian sandalwood	Pierre Guillaume
Praliné de Santal	Pierre Guillaume	2011	NA	6.8	96	Gourmand, Woody, Spicy, Sweet, Powdery	Hazelnut	Heliotrope	Sandalwood, Cedarwood, Fleur de sel	Pierre Guillaume
Nawab of Oudh Intensivo	Ormonde Jayne	2015	NA	8.7	465	Spicy, Floral, Green, Woody, Fresh	Cardamom, Green notes, Orange absolute, Aldehydes, Bergamot	Rose, Pimento, Cinnamon, Laurel, Orchid, Hedione, Magnolia	Vetiver, Ambergris, Labdanum, Musk, Oud	Geza Schön
Nawab of Oudh Parfum	Ormonde Jayne	2012	NA	8.1	239	Spicy, Woody, Floral, Green, Oriental	Cardamom, Green notes, Orange absolute, Aldehydes, Bergamot	Rose, Pimento, Cinnamon, Laurel, Orchid, Hedione, Magnolia	Vetiver, Ambergris, Labdanum, Musk, Oud	Geza Schön
Sorong	Pierre Guillaume	2019	NA	7.3	55	Woody, Resinous, Spicy, Smoky, Leathery	NA	NA	NA	Pierre Guillaume
Innocent Flower	ann fragrance	2015	NA	7.7	58	Sweet, Citrus, Spicy, Fruity, Floral	NA	NA	NA	Emma Vincent (née Dick)
Tsarina Parfum	Ormonde Jayne	2012	NA	7.2	63	Fruity, Floral, Powdery, Leathery, Spicy	Bergamot, Coriander, Mandarin orange, Blackcurrant	Hedione, Iris, Freesia, Jasmine, Suede	Musk, Sandalwood, Cedar, Labdanum, Vanilla	Geza Schön
Arabian Horse	Pierre Guillaume	2012	NA	7.7	54	Leathery, Animal, Spicy, Woody, Oriental	Plant juice, Wild flowers, Grass, Narcissus absolute	Leather	Animalic musk, Amber, Woody notes, Cypriol	Pierre Guillaume
L'Air & L'Eros	Pierre Guillaume	2023	NA	7.8	52	Floral, Sweet, Creamy, Fresh, Powdery	Lilac	Tonka bean	White chocolate	Pierre Guillaume
Montabaco Intensivo	Ormonde Jayne	2013	NA	8.3	293	Spicy, Woody, Fresh, Green, Synthetic	Cardamom, Juniper, Air accord, Bergamot, Clary sage, Orange absolute	Hedione, Magnolia, Tea, Rose, Violet	ISO-E-Super, Moss, Suede, Ambergris, Sandalwood, Tobacco, Tonka bean	Geza Schön
Montabaco Ormonde Jayne 2012 Parfum	Ormonde Jayne	2012	Parfum	7.8	169	Spicy, Woody, Fresh, Green, Synthetic	Cardamom, Juniper, Air accord, Bergamot, Clary sage, Orange absolute	Hedione, Magnolia, Tea, Rose, Violet	ISO-E-Super, Moss, Suede, Ambergris, Sandalwood, Tobacco, Tonka bean	Geza Schön
Le Musc & La Peau	Pierre Guillaume	2016	NA	8.1	472	Fresh, Creamy, Powdery, Woody, Synthetic	Aldehydes, Rosemary, Bergamot	Cedar, Ylang-ylang, Sandalwood	Musk, Ambrox, Tonka bean absolute	Pierre Guillaume
Grand Siècle Intense	Pierre Guillaume	2014	NA	7.6	55	Citrus, Fresh, Green, Chypre, Woody	Bergamot, Lemon leaf, Bitter orange	Mint, Cypress absolute, Hay, Tobacco	Vetiver, Honey, Oakmoss, Patchouli	Pierre Guillaume
Morning in Tipasa	Pierre Guillaume	2021	NA	8.1	96	Green, Fresh, Citrus, Spicy, Sweet	NA	NA	NA	Pierre Guillaume
L'Ombre Fauve	Pierre Guillaume	2007	NA	7.5	108	Animal, Sweet, Woody, Powdery, Spicy	Red amber	Civet	Precious woods	Pierre Guillaume
Zara	Zara	2015	NA	7.8	341	Powdery, Spicy, Sweet, Woody, Oriental	Bergamot, Coriander, Juniper	Iris, Cardamom, Pepper	Amber, Cedarwood, Vetiver	Mathieu Nardin, Robertet
Komorebi	Pierre Guillaume	2018	NA	7.7	81	Green, Fresh, Woody, Spicy, Fruity	Mint, Tree resin	Blackcurrant, Reseda, Mimosa	Oak wood, Tonka bean absolute	Pierre Guillaume
Fierce	The Dua Brand / Dua Fragrances	NA	NA	8	143	Fresh, Citrus, Spicy, Woody, Synthetic	NA	NA	NA	NA
Midsummer Orange Zest	Zara	2017	NA	8	74	Citrus, Fresh, Fruity, Green, Spicy	NA	NA	NA	NA
Varensflirt - Mojito Love	Ulric de Varens	2019	NA	7	53	Citrus, Fresh, Sweet, Fruity, Green	Mint, Lime zest, Ice accord, Cane sugar	Blossoms, Coconut water	Musk, Sugar	NA
(untitled)	Maison Margiela	2010	NA	7.6	432	Green, Fresh, Woody, Spicy, Smoky	Boxwood, Galbanum, Bitter orange tree absolute	Galbanum, Mastic, Jasmine	Cedarwood, Frankincense, Musk	Daniela Andrier
****** d'Oscar Oscar de la Renta 2011 Eau de Parfum	Oscar de la Renta	2011	Eau de Parfum	8	55	Floral, Powdery, Citrus, Sweet, Spicy	Citron, Sicilian lemon	Orange blossom, Egyptian jasmine, Iris, Parma violet, Tuberose	Heliotrope, Musk, Tonka bean, Amber, Vetiver	Frank Voelkl, Ann Gottlieb
****** d'Oscar Oscar de la Renta 2011 Eau de Toilette	Oscar de la Renta	2011	Eau de Toilette	7.4	135	Floral, Powdery, Citrus, Sweet, Fresh	Citron, Sicilian lemon	Orange blossom, Egyptian jasmine, Iris, Parma violet, Tuberose	Heliotrope, Musk, Tonka bean, Amber, Vetiver	Frank Voelkl, Ann Gottlieb Product developer
_but not today_	Filippo Sorcinelli	2018	NA	7.1	83	Animal, Floral, Spicy, Green, Synthetic	Artemisia, Lavender, Lemon, Bergamot	Styrax, Calamus, Cascarilla, Rosemary	Angelica, Amber, Galbanum, Musk, Oakmoss, Sandalwood	NA
_Quando_rapita_in_estasi_	Filippo Sorcinelli	2019	NA	8.3	195	Smoky, Spicy, Woody, Resinous, Floral	Frankincense, Cedarwood, Lily of the valley	Clove, Peach	Frankincense, Fir balsam, Labdanum, Patchouli, Vetiver, Tonka bean, Vanilla	NA
A Bat of Her Lashes Would Stop Time	Astrid Perfume / Blooddrop	2001	NA	6.7	57	Fresh, Aquatic, Floral, Fruity, Sweet	Pear, Basil, Violet leaf	Aquatic notes, Lemon zest, Peony, Jasmine sambac	Cedar, Musk, Sandalwood, Cashmere, Stench	Olivier Polge, Carlos Benaïm
A City On Fire	Imaginary Authors	2014	NA	6.8	181	Smoky, Woody, Spicy, Resinous, Earthy	NA	NA	NA	Josh Meyer
A Drop d'Issey Issey Miyake 2021 Eau de Parfum	Issey Miyake	2021	Eau de Parfum	7.6	434	Floral, Creamy, Fresh, Sweet, Powdery	Almond milk, Damask rose, Orange blossom	Lilac, Jasmine, Star anise	Ambrox, Musk, Atlas cedar, Vanillin	Ane Ayo
A Drop d'Issey Issey Miyake 2022 Eau de Parfum Fraîche	Issey Miyake	2022	Eau de Parfum Fraîche	7	166	Fresh, Floral, Aquatic, Creamy, Sweet	Rain accord	Lilac, Damask rose	Sandalwood, Cedarwood	Ane Ayo, Firmenich
A Drop d'Issey Issey Miyake 2023 Eau de Parfum Essentielle	Issey Miyake	2023	Eau de Parfum Essentielle	7.3	68	Floral, Fresh, Green, Creamy, Aquatic	NA	NA	NA	NA
A Fleur de Peau	Keiko Mecheri	1999	NA	7.3	90	Leathery, Floral, Powdery, Spicy, Sweet	NA	NA	NA	NA
A Girl In Capri	Lanvin	2019	NA	7.6	148	Citrus, Fresh, Sweet, Floral, Fruity	Primofiore lemon, Bergamot, Pink pepper	Grapefruit blossom, Spindrift	White musk, Driftwood	Sophie Labbé
A Goodnight Kiss	Roja Parfums	2015	NA	8.1	167	Floral, Powdery, Spicy, Creamy, Chypre	Aldehydes, Bergamot	Carnation, May rose, Violet, Orange blossom, Ylang-ylang, Grasse jasmine	Clove, Iris, Rice powder, Green notes, Leather, Musk, Spicy notes, Cedarwood	Roja Dove
A Lilac A Day	Vilhelm Parfumerie	2016	NA	7.6	57	Floral, Fresh, Green, Spicy, Woody	Blue lilac, Freesia	Galbanum, Jasmine	Black amber, Rose	NA
A Marriage of Jasmine & Tuberose	Avon	1981	NA	7.7	697	Aquatic, Fresh, Spicy, Green, Woody	NA	NA	NA	NA
A	Pantheon	2023	NA	8.1	87	Fruity, Sweet, Creamy, Floral, Spicy	Mango, Coconut, Pink pepper	Jasmine sambac, Iris, Orchid	Vanilla, Amber, Musk, Patchouli, Tonka bean	NA
A Scent Florale	Issey Miyake	2010	NA	6.4	53	Floral, Fresh, Sweet, Powdery, Spicy	NA	NA	NA	NA
A Scent	Issey Miyake	2009	NA	6.9	190	Fresh, Green, Floral, Citrus, Spicy	NA	NA	NA	Daphné Bugey
A Secret B	QueenB	NA	NA	8.2	53	Spicy, Sweet, Oriental, Woody, Gourmand	NA	NA	NA	NA
